goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapGetHit/100        	19487294	       605.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1856569	      6307 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1841439	      6194 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1892858	      6412 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1866823	      6465 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1885153	      6289 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1864618	      6327 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1848531	      6266 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1891592	      6208 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1839400	      6377 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1884819	      6614 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1922089	      6408 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1885712	      6349 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1838610	      6450 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1878471	      7005 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000       	 1634556	      6471 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  164596	     72375 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166828	     73009 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  168063	     71498 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166869	     71410 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166069	     71822 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  164539	     71695 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  165333	     72396 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166807	     71594 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166540	     72195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166032	     72149 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166694	     72380 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166634	     71713 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  166410	     71920 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  165295	     72260 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/10000      	  167137	     72266 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1135793 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1121878 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1134340 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1138203 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1135445 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1150535 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1141762 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1131370 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1142958 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1137510 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1130197 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1150821 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1132008 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1132023 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/100000     	   10000	   1129499 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20547754 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     585	  20127288 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20165180 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     594	  20176106 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20308898 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20199287 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     596	  20125425 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20162099 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     595	  20307454 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     594	  20207163 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     592	  20186285 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     594	  20178460 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     596	  20175770 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     565	  20224375 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetHit/1000000    	     594	  20125095 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	165706466	        70.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	169364338	        70.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	148795875	        71.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	171336308	        70.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	171056250	        70.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	170277691	        69.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	171062006	        73.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	168431498	        71.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	169298653	        70.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	170312550	        70.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	170352691	        79.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapGetMiss/10        	169999026	        70.26 ns/op	       0 B/op	       0 allocs/op
